note_id,account_id,company,note_type,author,created_date,note_content,follow_up_required,follow_up_date
NOTE-00029,ACC-0073,Heritage HVAC Systems,QBR,Tanya Oluoch,2023-04-17,Quarterly review completed. Key wins discussed. Upsell opportunity: escalate to VP CS.,No,2023-04-30
NOTE-00030,ACC-0568,TrustWorks HVAC Systems,Email,Omar Castillo,2024-04-03,Customer replied re: mobile app adoption. frustrated.,Yes,
NOTE-00031,ACC-0296,Pinnacle HVAC Group,Health Check,Jordan Blake,2023-12-30,Weekly health check — score 35.5. Mobile adoption at risk.,No,2024-01-10
NOTE-00032,ACC-0139,Apex Pest Control Solutions,Escalation,Felix Brennan,2023-01-25,Escalated ticket re: QuickBooks sync. Engineering engaged.,No,2023-01-30
NOTE-00033,ACC-0386,RapidFix Electrical Systems,Email,Tanya Oluoch,2025-01-01,Sent renewal email — awaiting response.,No,
NOTE-00034,ACC-0238,Summit HVAC Experts,Email,Sadia Islam,2024-01-18,Sent renewal email — awaiting response.,No,
NOTE-00035,ACC-0638,OneCall HVAC Experts,Call,Omar Castillo,2023-07-03,Spoke with office manager re: pricing. Action: schedule follow-up.,No,
NOTE-00036,ACC-0117,Pinnacle Facilities Management Group,Health Check,Lena Fischer,2025-02-25,Weekly health check — score 47.7. Mobile adoption at risk.,No,2025-03-04
NOTE-00037,ACC-0074,Elite Plumbing Technologies,Call,Jordan Blake,2025-01-30,Spoke with the owner re: pricing. Action: send documentation.,No,
NOTE-00038,ACC-0305,Allied Pest Control Partners,Call,Emma Solis,2025-03-19,Check-in call completed. Customer positive. Next step: send documentation.,Yes,
NOTE-00039,ACC-0485,Regional HVAC Technologies,Health Check,Emma Solis,2023-07-03,Weekly health check — score 81.4. Mobile adoption at risk.,No,
NOTE-00040,ACC-0277,Heritage HVAC Experts,Renewal Discussion,Omar Castillo,2023-07-03,Renewal discussion initiated. Contract ends in 80 days. Customer neutral.,No,2023-07-08
NOTE-00041,ACC-0575,National Pest Control Associates,QBR,Felix Brennan,2024-09-24,Quarterly review completed. Key wins discussed. Upsell opportunity: send documentation.,No,
NOTE-00042,ACC-0034,Elite Facilities Management Solutions,Call,Emma Solis,2025-03-03,Check-in call completed. Customer excited about new features. Next step: send upsell proposal.,No,2025-03-07
NOTE-00043,ACC-0066,Pinnacle HVAC Group,Renewal Discussion,Emma Solis,2023-02-03,Renewal proposal sent. Upsell discussed: Analytics Add-On.,Yes,2023-02-13
NOTE-00044,ACC-0506,SwiftLine Electrical Solutions,Email,Omar Castillo,2023-10-04,Followed up on billing. No response yet.,No,
NOTE-00045,ACC-0409,Regional Plumbing Technologies,QBR,Lena Fischer,2024-02-24,"QBR held with office manager. Reviewed usage metrics, discussed billing. Customer excited about new features.",No,2024-03-05
NOTE-00046,ACC-0600,Pinnacle Pest Control Group,Call,Jordan Blake,2024-11-05,Check-in call completed. Customer frustrated. Next step: schedule follow-up.,No,
NOTE-00047,ACC-0036,Apex Plumbing Services,Email,Emma Solis,2024-11-16,Followed up on billing. No response yet.,No,2024-11-30
NOTE-00048,ACC-0046,Dynamic Facilities Management Partners,Escalation,Ravi Mehta,2023-09-29,Escalated ticket re: QuickBooks sync. Engineering engaged.,Yes,2023-10-05
NOTE-00049,ACC-0330,SwiftLine Facilities Management Partners,Email,Felix Brennan,2025-04-26,Sent renewal email — awaiting response.,No,
NOTE-00050,ACC-0407,RapidFix Pest Control Systems,Call,Ravi Mehta,2024-07-04,Check-in call completed. Customer considering cancellation. Next step: send upsell proposal.,No,
NOTE-00051,ACC-0181,Apex Plumbing Solutions,Renewal Discussion,Felix Brennan,2024-11-20,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,2024-11-28
NOTE-00052,ACC-0618,SwiftLine HVAC Technologies,Health Check,Emma Solis,2024-11-28,Weekly health check — score 58.7. Mobile adoption at risk.,Yes,2024-12-10
NOTE-00053,ACC-0146,Premier Electrical Partners,Upsell Attempt,Sadia Islam,2023-09-10,Discussed seat expansion — customer added 4 techs. MRR increase: $144.,No,
NOTE-00054,ACC-0497,Metro HVAC Associates,Call,Lena Fischer,2024-11-16,Check-in call completed. Customer neutral. Next step: send upsell proposal.,No,
NOTE-00055,ACC-0241,Summit Other Professionals,Upsell Attempt,Ravi Mehta,2023-10-17,Presented Analytics Add-On demo. Customer excited about new features.,Yes,2023-10-30
NOTE-00056,ACC-0591,Apex Electrical Technologies,Call,Omar Castillo,2024-02-03,Check-in call completed. Customer considering cancellation. Next step: escalate to VP CS.,No,2024-02-11
NOTE-00057,ACC-0245,OneCall HVAC Technologies,Call,Omar Castillo,2023-02-20,Spoke with ops director re: scheduling features. Action: loop in SE.,Yes,2023-02-23
NOTE-00058,ACC-0634,National Electrical Solutions,Call,Jordan Blake,2023-02-06,Spoke with ops director re: scheduling features. Action: schedule follow-up.,No,2023-02-11
NOTE-00059,ACC-0511,Metro HVAC Solutions,Renewal Discussion,Ravi Mehta,2023-08-22,Renewal discussion initiated. Contract ends in 47 days. Customer considering cancellation.,No,2023-08-31
NOTE-00060,ACC-0129,Apex HVAC Associates,Health Check,Tanya Oluoch,2025-01-16,Health score reviewed: 78.2. Status: Green. send upsell proposal flagged.,No,
NOTE-00061,ACC-0528,Summit Facilities Management Professionals,Call,Felix Brennan,2024-09-23,Check-in call completed. Customer excited about new features. Next step: schedule follow-up.,No,
NOTE-00062,ACC-0032,SwiftLine HVAC Partners,Health Check,Ravi Mehta,2024-07-28,Health score reviewed: 61.8. Status: Yellow. send upsell proposal flagged.,Yes,
NOTE-00063,ACC-0310,ProServ Other Associates,Email,Felix Brennan,2023-05-11,Sent renewal email — awaiting response.,Yes,
NOTE-00064,ACC-0496,Dynamic HVAC Associates,Call,Felix Brennan,2023-06-01,Spoke with office manager re: mobile app adoption. Action: send documentation.,No,
NOTE-00065,ACC-0193,Dynamic Pest Control Systems,Escalation,Felix Brennan,2023-07-10,Customer escalated billing issue. Resolved within 24 hours.,No,
NOTE-00066,ACC-0071,Regional Landscaping Systems,Email,Lena Fischer,2024-07-13,Followed up on mobile app adoption. No response yet.,No,
NOTE-00067,ACC-0005,Dynamic Pest Control Group,Upsell Attempt,Lena Fischer,2023-12-16,Discussed seat expansion — customer added 3 techs. MRR increase: $345.,Yes,
NOTE-00068,ACC-0096,RapidFix Electrical Partners,QBR,Omar Castillo,2023-08-06,"QBR held with the owner. Reviewed usage metrics, discussed scheduling features. Customer neutral.",Yes,
NOTE-00069,ACC-0410,Regional Plumbing Services,Email,Omar Castillo,2024-01-09,Sent renewal email — awaiting response.,Yes,
NOTE-00070,ACC-0470,Reliable Plumbing Solutions,Renewal Discussion,Emma Solis,2024-03-06,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,
NOTE-00071,ACC-0416,ProServ HVAC Experts,Call,Lena Fischer,2023-07-08,Spoke with ops director re: scheduling features. Action: loop in SE.,No,2023-07-15
NOTE-00072,ACC-0241,Summit Other Professionals,QBR,Ravi Mehta,2023-01-05,Quarterly review completed. Key wins discussed. Upsell opportunity: loop in SE.,Yes,
NOTE-00073,ACC-0123,Reliable Pest Control Professionals,QBR,Tanya Oluoch,2024-04-25,Quarterly review completed. Key wins discussed. Upsell opportunity: send documentation.,No,2024-05-08
NOTE-00074,ACC-0111,Regional Pest Control Group,Renewal Discussion,Jordan Blake,2025-03-24,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,2025-04-03
NOTE-00075,ACC-0335,Elite HVAC Partners,Call,Felix Brennan,2024-11-08,Spoke with the GM re: mobile app adoption. Action: send upsell proposal.,No,2024-11-13
NOTE-00076,ACC-0486,Metro HVAC Systems,Call,Lena Fischer,2023-11-02,Check-in call completed. Customer positive. Next step: loop in SE.,Yes,
NOTE-00077,ACC-0302,Allied Plumbing Professionals,Upsell Attempt,Lena Fischer,2023-03-09,Discussed seat expansion — customer added 2 techs. MRR increase: $488.,No,2023-03-22
NOTE-00078,ACC-0088,Allied Facilities Management Solutions,Health Check,Lena Fischer,2023-09-24,Health score reviewed: 60.6. Status: Yellow. send upsell proposal flagged.,No,
NOTE-00079,ACC-0145,SwiftLine Plumbing Technologies,Health Check,Lena Fischer,2023-05-31,Health score reviewed: 77.8. Status: Green. send documentation flagged.,No,
NOTE-00080,ACC-0178,Premier Other Systems,Upsell Attempt,Sadia Islam,2023-11-07,Discussed seat expansion — customer added 1 techs. MRR increase: $487.,No,
NOTE-00081,ACC-0527,TrustWorks Landscaping Systems,Upsell Attempt,Sadia Islam,2024-03-13,Presented Analytics Add-On demo. Customer considering cancellation.,Yes,
NOTE-00082,ACC-0347,ProServ Electrical Professionals,Call,Lena Fischer,2023-08-11,Check-in call completed. Customer excited about new features. Next step: escalate to VP CS.,No,2023-08-14
NOTE-00083,ACC-0327,Elite Plumbing Works,Email,Felix Brennan,2023-08-20,Followed up on scheduling features. No response yet.,No,2023-08-23
NOTE-00084,ACC-0428,RapidFix Pest Control Associates,Health Check,Tanya Oluoch,2025-05-24,Weekly health check — score 77.5. Mobile adoption at risk.,No,2025-05-27
NOTE-00085,ACC-0398,SwiftLine Plumbing Solutions,Health Check,Lena Fischer,2024-04-06,Health score reviewed: 80.4. Status: Green. escalate to VP CS flagged.,No,2024-04-12
NOTE-00086,ACC-0067,Pinnacle HVAC Solutions,Health Check,Sadia Islam,2023-04-19,Weekly health check — score 75.6. Mobile adoption at risk.,No,2023-04-26
NOTE-00087,ACC-0015,Summit HVAC Systems,Renewal Discussion,Felix Brennan,2023-04-30,Renewal discussion initiated. Contract ends in 51 days. Customer positive.,No,2023-05-04
NOTE-00088,ACC-0445,Reliable Pest Control Experts,Call,Jordan Blake,2024-12-23,Spoke with the GM re: pricing. Action: loop in SE.,No,
NOTE-00089,ACC-0289,Metro Facilities Management Systems,Email,Lena Fischer,2024-03-04,Customer replied re: reporting. positive.,Yes,
NOTE-00090,ACC-0402,BlueStar Electrical Solutions,Call,Jordan Blake,2024-11-24,Spoke with ops director re: reporting. Action: loop in SE.,Yes,2024-11-30
NOTE-00091,ACC-0153,SwiftLine Plumbing Associates,Health Check,Ravi Mehta,2024-03-13,Weekly health check — score 68.3. Mobile adoption at risk.,No,2024-03-25
NOTE-00092,ACC-0475,Metro HVAC Group,Renewal Discussion,Lena Fischer,2024-04-22,Renewal proposal sent. Upsell discussed: Analytics Add-On.,Yes,2024-05-05
NOTE-00093,ACC-0277,Heritage HVAC Experts,Call,Omar Castillo,2024-12-09,Check-in call completed. Customer neutral. Next step: escalate to VP CS.,No,
NOTE-00094,ACC-0448,Apex Facilities Management Systems,Email,Tanya Oluoch,2023-08-06,Customer replied re: reporting. frustrated.,Yes,
NOTE-00095,ACC-0582,Dynamic HVAC Solutions,QBR,Jordan Blake,2023-12-11,"QBR held with the GM. Reviewed usage metrics, discussed mobile app adoption. Customer excited about new features.",No,
NOTE-00096,ACC-0155,Dynamic Plumbing Professionals,QBR,Sadia Islam,2023-11-30,Quarterly review completed. Key wins discussed. Upsell opportunity: send upsell proposal.,Yes,2023-12-12
NOTE-00097,ACC-0122,Summit Facilities Management Group,Email,Omar Castillo,2023-03-14,Followed up on mobile app adoption. No response yet.,No,
NOTE-00098,ACC-0564,Allied Facilities Management Group,Upsell Attempt,Felix Brennan,2024-01-05,Discussed seat expansion — customer added 4 techs. MRR increase: $425.,No,
NOTE-00099,ACC-0021,Heritage Facilities Management Associates,Call,Ravi Mehta,2023-09-15,Check-in call completed. Customer positive. Next step: send documentation.,No,
NOTE-00100,ACC-0079,Regional Plumbing Partners,Health Check,Sadia Islam,2023-01-01,Health score reviewed: 67.6. Status: Yellow. loop in SE flagged.,No,2023-01-07
NOTE-00101,ACC-0288,BlueStar Plumbing Group,Upsell Attempt,Jordan Blake,2024-02-22,Presented Analytics Add-On demo. Customer frustrated.,Yes,
NOTE-00102,ACC-0578,TrustWorks Pest Control Solutions,Call,Felix Brennan,2023-02-23,Spoke with office manager re: billing. Action: send documentation.,No,2023-02-27
NOTE-00103,ACC-0096,RapidFix Electrical Partners,Email,Omar Castillo,2023-09-20,Customer replied re: QuickBooks integration. considering cancellation.,No,2023-09-30
NOTE-00104,ACC-0517,SwiftLine HVAC Technologies,Call,Omar Castillo,2024-09-24,Spoke with office manager re: reporting. Action: escalate to VP CS.,No,
NOTE-00105,ACC-0290,Reliable Other Services,Email,Felix Brennan,2025-04-24,Followed up on QuickBooks integration. No response yet.,No,
NOTE-00106,ACC-0351,RapidFix Facilities Management Experts,Call,Ravi Mehta,2023-02-13,Spoke with office manager re: reporting. Action: send documentation.,Yes,2023-02-22
NOTE-00107,ACC-0051,Allied Facilities Management Systems,Email,Felix Brennan,2025-02-28,Followed up on reporting. No response yet.,No,
NOTE-00108,ACC-0122,Summit Facilities Management Group,Upsell Attempt,Omar Castillo,2024-11-30,Discussed seat expansion — customer added 1 techs. MRR increase: $488.,No,
NOTE-00109,ACC-0465,BlueStar Electrical Professionals,Call,Felix Brennan,2025-01-06,Spoke with the owner re: pricing. Action: send upsell proposal.,Yes,
NOTE-00110,ACC-0193,Dynamic Pest Control Systems,QBR,Felix Brennan,2023-08-14,"QBR held with the GM. Reviewed usage metrics, discussed scheduling features. Customer considering cancellation.",Yes,
NOTE-00111,ACC-0063,TrustWorks Plumbing Solutions,Call,Lena Fischer,2023-08-30,Spoke with IT lead re: reporting. Action: escalate to VP CS.,No,
NOTE-00112,ACC-0246,Apex HVAC Professionals,Escalation,Emma Solis,2024-03-09,Customer escalated billing issue. Resolved within 21 hours.,No,
NOTE-00113,ACC-0463,ProServ HVAC Experts,Health Check,Felix Brennan,2024-06-19,Weekly health check — score 42.9. Mobile adoption at risk.,Yes,2024-07-03
NOTE-00114,ACC-0269,Apex Plumbing Works,Upsell Attempt,Lena Fischer,2023-05-28,Presented Analytics Add-On demo. Customer frustrated.,Yes,
NOTE-00115,ACC-0616,SwiftLine HVAC Group,Health Check,Tanya Oluoch,2024-11-01,Health score reviewed: 84.8. Status: Green. loop in SE flagged.,Yes,
NOTE-00116,ACC-0242,National Electrical Solutions,Health Check,Emma Solis,2024-10-16,Health score reviewed: 55.5. Status: Yellow. escalate to VP CS flagged.,No,2024-10-24
NOTE-00117,ACC-0222,RapidFix Pest Control Services,Upsell Attempt,Jordan Blake,2023-10-30,Presented Analytics Add-On demo. Customer considering cancellation.,No,
NOTE-00118,ACC-0242,National Electrical Solutions,Upsell Attempt,Emma Solis,2024-01-06,Discussed seat expansion — customer added 1 techs. MRR increase: $424.,No,
NOTE-00119,ACC-0373,Premier Electrical Solutions,Health Check,Jordan Blake,2023-11-07,Weekly health check — score 62.2. Mobile adoption at risk.,Yes,2023-11-21
NOTE-00120,ACC-0563,ProServ Plumbing Professionals,Renewal Discussion,Sadia Islam,2024-04-22,Renewal discussion initiated. Contract ends in 76 days. Customer neutral.,No,
NOTE-00121,ACC-0056,Dynamic HVAC Systems,Call,Emma Solis,2025-03-07,Check-in call completed. Customer considering cancellation. Next step: send documentation.,Yes,
NOTE-00122,ACC-0109,SwiftLine Facilities Management Technologies,Escalation,Lena Fischer,2023-08-24,Customer escalated billing issue. Resolved within 6 hours.,Yes,
NOTE-00123,ACC-0459,TrustWorks Facilities Management Group,Email,Lena Fischer,2024-01-01,Sent renewal email — awaiting response.,No,
NOTE-00124,ACC-0217,BlueStar HVAC Professionals,Call,Ravi Mehta,2023-01-24,Spoke with ops director re: mobile app adoption. Action: schedule follow-up.,No,
NOTE-00125,ACC-0121,BlueStar HVAC Experts,Renewal Discussion,Emma Solis,2024-05-15,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,2024-05-20
NOTE-00126,ACC-0638,OneCall HVAC Experts,Upsell Attempt,Omar Castillo,2024-02-12,Discussed seat expansion — customer added 3 techs. MRR increase: $406.,Yes,
NOTE-00127,ACC-0581,Regional HVAC Experts,Email,Emma Solis,2023-11-01,Sent renewal email — awaiting response.,No,
NOTE-00128,ACC-0180,Reliable Electrical Group,Email,Sadia Islam,2024-03-03,Followed up on mobile app adoption. No response yet.,No,2024-03-16
NOTE-00129,ACC-0332,Heritage Plumbing Partners,Health Check,Ravi Mehta,2024-05-12,Health score reviewed: 56.2. Status: Yellow. send upsell proposal flagged.,No,
NOTE-00130,ACC-0596,Pinnacle Plumbing Systems,Email,Tanya Oluoch,2023-10-14,Followed up on billing. No response yet.,Yes,
NOTE-00131,ACC-0340,Reliable Electrical Solutions,Email,Felix Brennan,2024-04-12,Sent renewal email — awaiting response.,No,2024-04-26
NOTE-00132,ACC-0559,Premier Pest Control Professionals,Call,Tanya Oluoch,2025-03-06,Check-in call completed. Customer excited about new features. Next step: schedule follow-up.,No,2025-03-13
NOTE-00133,ACC-0105,OneCall HVAC Services,Email,Felix Brennan,2025-02-20,Followed up on billing. No response yet.,No,2025-02-25
NOTE-00134,ACC-0230,TrustWorks Facilities Management Professionals,QBR,Tanya Oluoch,2023-06-28,Quarterly review completed. Key wins discussed. Upsell opportunity: escalate to VP CS.,No,2023-07-05
NOTE-00135,ACC-0524,BlueStar Pest Control Systems,QBR,Emma Solis,2024-08-27,Quarterly review completed. Key wins discussed. Upsell opportunity: schedule follow-up.,No,
NOTE-00136,ACC-0574,TrustWorks Electrical Services,Health Check,Tanya Oluoch,2025-01-17,Weekly health check — score 60.6. Mobile adoption at risk.,No,
NOTE-00137,ACC-0618,SwiftLine HVAC Technologies,Health Check,Emma Solis,2025-05-13,Health score reviewed: 58.7. Status: Yellow. loop in SE flagged.,No,2025-05-24
NOTE-00138,ACC-0485,Regional HVAC Technologies,Health Check,Emma Solis,2023-11-26,Health score reviewed: 81.4. Status: Green. send upsell proposal flagged.,No,2023-12-08
NOTE-00139,ACC-0469,Premier Plumbing Systems,Call,Ravi Mehta,2023-03-06,Spoke with the owner re: mobile app adoption. Action: send upsell proposal.,No,
NOTE-00140,ACC-0099,Metro Electrical Experts,Upsell Attempt,Sadia Islam,2023-02-25,Discussed seat expansion — customer added 1 techs. MRR increase: $416.,No,
NOTE-00141,ACC-0276,Premier Plumbing Technologies,Call,Tanya Oluoch,2025-05-17,Check-in call completed. Customer considering cancellation. Next step: loop in SE.,No,
NOTE-00142,ACC-0173,Summit Electrical Group,Call,Lena Fischer,2025-01-03,Check-in call completed. Customer frustrated. Next step: send upsell proposal.,No,
NOTE-00143,ACC-0417,Premier HVAC Systems,Email,Omar Castillo,2024-08-06,Sent renewal email — awaiting response.,No,2024-08-14
NOTE-00144,ACC-0124,Heritage Facilities Management Technologies,Health Check,Jordan Blake,2024-08-10,Health score reviewed: 73.2. Status: Green. escalate to VP CS flagged.,No,
NOTE-00145,ACC-0031,Elite HVAC Professionals,Upsell Attempt,Ravi Mehta,2024-11-29,Discussed seat expansion — customer added 2 techs. MRR increase: $489.,No,
NOTE-00146,ACC-0176,OneCall Electrical Group,Renewal Discussion,Omar Castillo,2023-09-26,Renewal discussion initiated. Contract ends in 83 days. Customer frustrated.,Yes,
NOTE-00147,ACC-0064,RapidFix Facilities Management Services,Health Check,Felix Brennan,2024-08-20,Health score reviewed: 59.2. Status: Yellow. send upsell proposal flagged.,No,
NOTE-00148,ACC-0613,National Plumbing Works,Call,Felix Brennan,2023-01-22,Spoke with IT lead re: scheduling features. Action: schedule follow-up.,Yes,
NOTE-00149,ACC-0028,OneCall Electrical Experts,Upsell Attempt,Omar Castillo,2025-02-20,Discussed seat expansion — customer added 4 techs. MRR increase: $205.,No,2025-02-27
NOTE-00150,ACC-0200,TrustWorks Plumbing Technologies,QBR,Felix Brennan,2024-10-12,Quarterly review completed. Key wins discussed. Upsell opportunity: escalate to VP CS.,No,2024-10-26
NOTE-00151,ACC-0088,Allied Facilities Management Solutions,Call,Lena Fischer,2024-07-07,Check-in call completed. Customer positive. Next step: schedule follow-up.,No,
NOTE-00152,ACC-0090,Pinnacle HVAC Works,Call,Ravi Mehta,2023-08-25,Spoke with IT lead re: reporting. Action: loop in SE.,Yes,2023-08-29
NOTE-00153,ACC-0453,Heritage HVAC Partners,Call,Omar Castillo,2024-04-21,Spoke with ops director re: scheduling features. Action: send upsell proposal.,No,
NOTE-00154,ACC-0632,Reliable Facilities Management Systems,Health Check,Sadia Islam,2025-05-11,Health score reviewed: 83.2. Status: Green. send documentation flagged.,Yes,
NOTE-00155,ACC-0313,TrustWorks Electrical Experts,Email,Omar Castillo,2023-10-28,Customer replied re: mobile app adoption. considering cancellation.,No,
NOTE-00156,ACC-0601,Elite HVAC Services,Email,Omar Castillo,2023-04-25,Sent renewal email — awaiting response.,No,2023-05-02
NOTE-00157,ACC-0169,Pinnacle HVAC Partners,Call,Felix Brennan,2025-02-22,Spoke with IT lead re: billing. Action: schedule follow-up.,Yes,2025-03-04
NOTE-00158,ACC-0283,Elite Pest Control Partners,Call,Omar Castillo,2023-02-05,Spoke with the owner re: mobile app adoption. Action: escalate to VP CS.,Yes,2023-02-13
NOTE-00159,ACC-0534,SwiftLine HVAC Experts,Call,Lena Fischer,2024-02-23,Spoke with ops director re: billing. Action: schedule follow-up.,No,
NOTE-00160,ACC-0295,Allied Plumbing Experts,Email,Lena Fischer,2023-03-25,Sent renewal email — awaiting response.,Yes,
NOTE-00161,ACC-0136,SwiftLine HVAC Professionals,Email,Omar Castillo,2024-04-13,Customer replied re: scheduling features. frustrated.,Yes,
NOTE-00162,ACC-0131,Elite HVAC Partners,Call,Emma Solis,2024-12-13,Spoke with office manager re: billing. Action: schedule follow-up.,No,
NOTE-00163,ACC-0594,Reliable Plumbing Associates,Email,Ravi Mehta,2024-08-27,Sent renewal email — awaiting response.,No,2024-09-09
NOTE-00164,ACC-0598,Apex Electrical Associates,Email,Emma Solis,2024-08-31,Followed up on mobile app adoption. No response yet.,No,2024-09-07
NOTE-00165,ACC-0129,Apex HVAC Associates,Health Check,Tanya Oluoch,2024-04-03,Weekly health check — score 78.2. Mobile adoption at risk.,No,2024-04-10
NOTE-00166,ACC-0309,SwiftLine Electrical Associates,Email,Lena Fischer,2024-03-06,Customer replied re: scheduling features. considering cancellation.,No,2024-03-11
NOTE-00167,ACC-0524,BlueStar Pest Control Systems,Escalation,Emma Solis,2024-06-30,Customer escalated billing issue. Resolved within 19 hours.,No,2024-07-04
NOTE-00168,ACC-0488,Dynamic HVAC Partners,Upsell Attempt,Lena Fischer,2023-10-28,Presented Analytics Add-On demo. Customer positive.,No,
NOTE-00169,ACC-0512,Pinnacle HVAC Professionals,Email,Jordan Blake,2024-06-23,Sent renewal email — awaiting response.,No,
NOTE-00170,ACC-0371,Summit HVAC Group,Email,Lena Fischer,2023-06-05,Sent renewal email — awaiting response.,No,2023-06-09
NOTE-00171,ACC-0191,Pinnacle Landscaping Associates,Email,Ravi Mehta,2023-05-21,Sent renewal email — awaiting response.,No,2023-05-31
NOTE-00172,ACC-0051,Allied Facilities Management Systems,Upsell Attempt,Felix Brennan,2023-02-23,Discussed seat expansion — customer added 5 techs. MRR increase: $350.,No,2023-03-03
NOTE-00173,ACC-0164,BlueStar HVAC Experts,Call,Emma Solis,2023-01-01,Check-in call completed. Customer frustrated. Next step: escalate to VP CS.,No,
NOTE-00174,ACC-0163,Reliable HVAC Group,Upsell Attempt,Lena Fischer,2024-06-24,Discussed seat expansion — customer added 5 techs. MRR increase: $388.,No,
