account_id,company,industry,state,plan,tech_count,mrr,arr,contract_months,start_date,renewal_date,csm_owner,health_score,health_status,logins_last_30d,jobs_dispatched_30d,mobile_adoption_pct,nps_score,open_p1p2_tickets,last_login_date,last_qbr_date,analytics_addon,inventory_addon,portal_pro_addon,churn_risk_flag,expansion_potential
ACC-0031,Elite HVAC Professionals,HVAC,VA,Starter,2,266.82,3201.84,24,2022-08-09,2024-07-29,Ravi Mehta,62.1,Yellow,11,30,27,8,5,2025-05-11,,No,No,Yes,No,Medium
ACC-0032,SwiftLine HVAC Partners,HVAC,OR,Starter,1,353.51,4242.12,24,2020-05-21,2022-05-11,Ravi Mehta,61.8,Yellow,0,25,64,10,3,2025-04-30,,No,No,No,No,High
ACC-0033,Pinnacle HVAC Experts,HVAC,NV,Enterprise,83,4774.67,57296.04,12,2024-11-23,2025-11-18,Tanya Oluoch,70.4,Green,25,39,17,3,3,2025-05-28,2025-01-03,No,No,No,No,High
ACC-0034,Elite Facilities Management Solutions,Facilities Management,MO,Starter,4,286.17,3434.04,12,2020-01-09,2021-01-03,Emma Solis,78.4,Green,23,38,52,0,1,2025-05-26,,Yes,Yes,Yes,No,Medium
ACC-0035,National HVAC Group,HVAC,AZ,Starter,1,293.67,3524.04,24,2019-11-22,2021-11-11,Jordan Blake,84.2,Green,36,50,71,0,0,2025-06-01,,No,No,No,No,Low
ACC-0036,Apex Plumbing Services,Plumbing,OR,Starter,3,414.3,4971.6,36,2023-05-10,2026-04-24,Emma Solis,77.8,Green,21,26,74,1,4,2025-05-08,,No,No,Yes,No,Medium
ACC-0037,Pinnacle Pest Control Experts,Pest Control,WI,Starter,1,399.72,4796.64,36,2019-12-09,2022-11-23,Tanya Oluoch,88.7,Green,13,51,97,10,1,2025-04-24,,No,No,No,No,Medium
ACC-0038,Apex Electrical Associates,Electrical,IN,Starter,4,260.73,3128.76,36,2023-05-30,2026-05-14,Omar Castillo,80.8,Green,15,13,88,9,0,2025-05-26,,Yes,Yes,No,No,None
ACC-0039,Pinnacle Plumbing Professionals,Plumbing,NC,Growth,10,953.25,11439.0,12,2020-04-26,2021-04-21,Felix Brennan,80.4,Green,36,23,55,1,0,2025-05-02,,No,No,No,No,None
ACC-0040,Regional Plumbing Group,Plumbing,VA,Enterprise,153,5554.3,66651.6,24,2021-08-30,2023-08-20,Ravi Mehta,88.4,Green,28,23,75,9,2,2025-04-30,2025-01-07,No,No,Yes,No,None
ACC-0041,Metro HVAC Technologies,HVAC,TN,Pro,55,1280.7,15368.4,12,2024-03-13,2025-03-08,Felix Brennan,70.4,Green,24,10,82,6,6,2025-05-03,2025-04-09,No,No,No,No,High
ACC-0042,National HVAC Associates,HVAC,IN,Starter,1,405.03,4860.36,24,2024-08-02,2026-07-23,Omar Castillo,67.4,Yellow,12,25,52,1,2,2025-05-19,,No,Yes,No,No,High
ACC-0043,Regional HVAC Systems,HVAC,IN,Starter,4,278.08,3336.96,12,2020-08-11,2021-08-06,Jordan Blake,71.6,Green,38,49,58,0,6,2025-05-19,,Yes,Yes,Yes,No,High
ACC-0044,BlueStar Electrical Partners,Electrical,IL,Starter,1,277.46,3329.52,24,2020-12-12,2022-12-02,Emma Solis,80.1,Green,19,55,67,6,4,2025-05-29,,Yes,No,No,No,Medium
ACC-0045,Allied Plumbing Experts,Plumbing,NV,Starter,4,333.35,4000.2,36,2022-06-01,2025-05-16,Ravi Mehta,90.2,Green,27,22,98,9,3,2025-05-20,,Yes,No,No,No,Medium
ACC-0046,Dynamic Facilities Management Partners,Facilities Management,WI,Growth,15,599.6,7195.2,24,2024-06-10,2026-05-31,Ravi Mehta,71.0,Green,31,55,50,1,6,2025-06-01,,No,Yes,No,No,None
ACC-0047,Allied Pest Control Works,Pest Control,WA,Starter,2,323.25,3879.0,12,2022-06-23,2023-06-18,Omar Castillo,59.0,Yellow,13,22,36,3,5,2025-05-31,,No,No,Yes,No,High
ACC-0048,TrustWorks Plumbing Systems,Plumbing,WA,Growth,18,729.37,8752.44,24,2024-01-22,2026-01-11,Omar Castillo,79.4,Green,33,48,52,1,1,2025-05-21,,No,No,No,No,High
ACC-0049,Allied Electrical Associates,Electrical,VA,Starter,4,358.43,4301.16,24,2023-05-08,2025-04-27,Emma Solis,46.9,Yellow,5,51,23,1,5,2025-05-26,,No,No,Yes,No,High
ACC-0050,OneCall Facilities Management Group,Facilities Management,WA,Growth,14,921.59,11059.08,12,2020-08-07,2021-08-02,Lena Fischer,67.0,Yellow,35,24,24,3,6,2025-05-03,,No,No,No,No,None
ACC-0051,Allied Facilities Management Systems,Facilities Management,CA,Enterprise,189,4225.13,50701.56,36,2024-05-06,2027-04-21,Felix Brennan,89.3,Green,19,53,63,10,1,2025-06-01,2025-04-26,No,No,No,No,Medium
ACC-0052,Dynamic Electrical Solutions,Electrical,TN,Starter,4,293.92,3527.04,24,2024-11-14,2026-11-04,Tanya Oluoch,72.0,Green,39,41,60,0,6,2025-05-21,,No,No,No,No,High
ACC-0053,National Pest Control Technologies,Pest Control,FL,Starter,2,337.08,4044.96,24,2022-12-15,2024-12-04,Omar Castillo,84.6,Green,40,58,43,8,1,2025-05-27,,Yes,No,Yes,No,Low
ACC-0054,ProServ Pest Control Technologies,Pest Control,AZ,Starter,1,348.18,4178.16,36,2019-07-22,2022-07-06,Ravi Mehta,91.0,Green,29,40,90,5,1,2025-05-20,,No,No,No,No,Medium
ACC-0055,Apex HVAC Partners,HVAC,NC,Growth,9,835.37,10024.44,24,2022-12-29,2024-12-18,Emma Solis,72.0,Green,7,29,86,1,0,2025-05-21,,Yes,Yes,No,No,Medium
ACC-0056,Dynamic HVAC Systems,HVAC,CO,Pro,26,1678.99,20147.88,24,2019-07-15,2021-07-04,Emma Solis,66.8,Yellow,31,40,19,3,5,2025-04-22,2025-01-07,No,Yes,No,No,None
ACC-0057,Allied Electrical Solutions,Electrical,WI,Pro,60,1774.31,21291.72,12,2019-08-04,2020-07-29,Sadia Islam,88.6,Green,22,30,88,9,4,2025-05-16,2025-04-01,No,No,Yes,No,None
ACC-0058,Apex Pest Control Partners,Pest Control,NC,Growth,11,927.42,11129.04,12,2020-01-22,2021-01-16,Jordan Blake,55.0,Yellow,20,8,38,1,5,2025-05-02,,No,Yes,No,No,Medium
ACC-0059,Summit Facilities Management Associates,Facilities Management,OR,Growth,18,791.24,9494.88,12,2021-08-28,2022-08-23,Felix Brennan,65.8,Yellow,11,12,97,4,3,2025-05-13,,No,Yes,No,No,High
ACC-0060,Metro Plumbing Professionals,Plumbing,IL,Pro,37,1946.81,23361.72,12,2022-11-27,2023-11-22,Omar Castillo,77.0,Green,27,12,82,5,2,2025-05-30,2024-12-23,No,No,No,No,Medium
ACC-0061,Metro Facilities Management Technologies,Facilities Management,WA,Growth,16,747.28,8967.36,12,2020-01-21,2021-01-15,Sadia Islam,79.6,Green,27,50,33,5,1,2025-05-09,,No,No,Yes,No,None
ACC-0062,BlueStar HVAC Experts,HVAC,PA,Starter,3,289.3,3471.6,12,2022-08-06,2023-08-01,Tanya Oluoch,61.0,Yellow,35,4,59,4,4,2025-05-26,,No,No,Yes,No,High
ACC-0063,TrustWorks Plumbing Solutions,Plumbing,NV,Growth,15,670.33,8043.96,24,2019-09-10,2021-08-30,Lena Fischer,54.7,Yellow,2,17,63,1,0,2025-05-12,,No,Yes,Yes,No,Medium
ACC-0064,RapidFix Facilities Management Services,Facilities Management,CO,Starter,5,416.62,4999.44,24,2024-07-11,2026-07-01,Felix Brennan,59.2,Yellow,8,53,61,0,4,2025-04-21,,Yes,Yes,No,No,None
ACC-0065,Premier Plumbing Systems,Plumbing,AZ,Pro,39,1500.6,18007.2,12,2023-08-22,2024-08-16,Omar Castillo,60.2,Yellow,5,35,50,7,4,2025-04-18,2025-01-06,No,No,Yes,No,Medium
ACC-0066,Pinnacle HVAC Group,HVAC,PA,Enterprise,117,3680.5,44166.0,12,2019-06-22,2020-06-16,Emma Solis,93.6,Green,20,55,98,6,1,2025-05-09,2024-12-16,Yes,No,Yes,No,Medium
ACC-0067,Pinnacle HVAC Solutions,HVAC,OR,Pro,23,2055.02,24660.24,12,2019-11-01,2020-10-26,Sadia Islam,75.6,Green,39,50,58,4,5,2025-05-03,2025-04-02,No,No,No,No,High
ACC-0068,Reliable Pest Control Partners,Pest Control,FL,Growth,12,816.32,9795.84,24,2023-02-14,2025-02-03,Felix Brennan,87.2,Green,20,49,71,3,0,2025-05-10,,No,No,No,No,None
ACC-0069,RapidFix Plumbing Experts,Plumbing,CO,Starter,2,256.31,3075.72,24,2020-08-16,2022-08-06,Omar Castillo,67.6,Yellow,12,31,23,5,1,2025-05-13,,No,No,No,No,None
ACC-0070,Pinnacle HVAC Partners,HVAC,OR,Pro,43,1592.04,19104.48,24,2021-12-13,2023-12-03,Tanya Oluoch,61.2,Yellow,25,12,18,4,3,2025-04-21,2025-04-06,No,No,Yes,No,None
ACC-0071,Regional Landscaping Systems,Landscaping,PA,Starter,2,298.02,3576.24,36,2022-01-31,2025-01-15,Lena Fischer,75.8,Green,22,16,25,8,0,2025-05-23,,No,No,No,No,Medium
ACC-0072,Reliable HVAC Experts,HVAC,NV,Starter,1,262.23,3146.76,36,2021-07-23,2024-07-07,Omar Castillo,65.2,Yellow,12,18,34,6,1,2025-05-01,,No,Yes,Yes,No,Low
ACC-0073,Heritage HVAC Systems,HVAC,TN,Enterprise,73,5637.59,67651.08,12,2022-08-22,2023-08-17,Tanya Oluoch,56.4,Yellow,4,34,22,4,1,2025-05-26,2025-03-07,No,No,No,No,Low
ACC-0074,Elite Plumbing Technologies,Plumbing,IL,Pro,38,1856.09,22273.08,36,2021-01-10,2023-12-26,Jordan Blake,59.1,Yellow,6,11,74,9,3,2025-05-12,2025-04-15,No,Yes,No,No,High
ACC-0075,Regional HVAC Professionals,HVAC,OR,Starter,4,324.52,3894.24,12,2019-07-13,2020-07-07,Felix Brennan,49.2,Yellow,4,10,96,0,4,2025-06-01,,No,Yes,No,No,None
ACC-0076,National HVAC Professionals,HVAC,IN,Starter,3,391.52,4698.24,24,2022-05-11,2024-04-30,Ravi Mehta,57.6,Yellow,9,49,22,1,2,2025-05-10,,No,No,No,No,Medium
ACC-0077,Allied HVAC Solutions,HVAC,VA,Starter,3,303.67,3644.04,24,2021-04-14,2023-04-04,Lena Fischer,64.8,Yellow,7,17,97,8,5,2025-05-18,,No,No,No,No,None
ACC-0078,SwiftLine Pest Control Professionals,Pest Control,WI,Starter,4,313.26,3759.12,12,2023-08-03,2024-07-28,Tanya Oluoch,68.6,Yellow,24,40,23,4,5,2025-05-21,,No,No,No,No,Medium
ACC-0079,Regional Plumbing Partners,Plumbing,NY,Starter,3,305.02,3660.24,24,2019-08-24,2021-08-13,Sadia Islam,67.6,Yellow,39,7,65,7,4,2025-06-01,,No,No,No,No,High
ACC-0080,TrustWorks Electrical Services,Electrical,PA,Growth,14,833.97,10007.64,12,2023-02-20,2024-02-15,Felix Brennan,72.0,Green,31,18,18,4,0,2025-05-14,,Yes,Yes,No,No,Medium
ACC-0081,Reliable Plumbing Solutions,Plumbing,PA,Starter,1,262.36,3148.32,12,2020-03-09,2021-03-04,Felix Brennan,88.2,Green,32,42,81,2,0,2025-05-05,,Yes,No,No,No,None
ACC-0082,Dynamic Plumbing Works,Plumbing,OR,Growth,17,756.6,9079.2,12,2024-11-01,2025-10-27,Felix Brennan,72.5,Green,19,38,49,2,4,2025-05-24,,No,No,No,No,High
ACC-0083,Apex HVAC Experts,HVAC,MN,Growth,7,708.46,8501.52,36,2024-08-11,2027-07-27,Lena Fischer,76.4,Green,34,11,58,6,0,2025-04-18,,No,No,No,No,High
ACC-0084,ProServ Plumbing Associates,Plumbing,WI,Starter,4,330.01,3960.12,24,2024-07-12,2026-07-02,Jordan Blake,64.4,Yellow,26,5,27,9,2,2025-05-09,,No,No,No,No,None
ACC-0085,Summit Plumbing Works,Plumbing,NV,Pro,45,1826.6,21919.2,24,2022-01-03,2023-12-24,Lena Fischer,30.1,Red,3,5,17,4,6,2025-05-26,2025-02-17,No,No,No,Yes,None
ACC-0086,ProServ Electrical Solutions,Electrical,AZ,Starter,5,375.74,4508.88,36,2019-09-17,2022-09-01,Tanya Oluoch,78.4,Green,33,9,81,7,1,2025-04-22,,No,No,Yes,No,High
ACC-0087,RapidFix HVAC Professionals,HVAC,TN,Growth,7,594.16,7129.92,12,2022-10-19,2023-10-14,Emma Solis,65.8,Yellow,15,13,23,7,0,2025-05-29,,Yes,No,No,No,High
ACC-0088,Allied Facilities Management Solutions,Facilities Management,OH,Enterprise,199,4171.23,50054.76,36,2022-11-06,2025-10-21,Lena Fischer,60.6,Yellow,39,7,65,2,5,2025-04-20,2025-03-02,No,No,No,No,High
ACC-0089,Dynamic HVAC Systems,HVAC,OH,Growth,8,962.87,11554.44,12,2022-03-06,2023-03-01,Felix Brennan,84.0,Green,25,24,99,1,3,2025-05-31,,No,No,Yes,No,High
ACC-0090,Pinnacle HVAC Works,HVAC,WI,Starter,5,327.24,3926.88,12,2024-07-03,2025-06-28,Ravi Mehta,87.6,Green,29,56,68,4,0,2025-04-30,,No,No,No,No,None
ACC-0091,OneCall HVAC Systems,HVAC,IN,Starter,5,309.95,3719.4,12,2023-06-04,2024-05-29,Felix Brennan,71.8,Green,19,59,60,1,6,2025-04-24,,No,No,No,No,Low
ACC-0092,Summit Electrical Professionals,Electrical,IN,Growth,16,818.86,9826.32,24,2024-01-25,2026-01-14,Emma Solis,37.3,Red,2,1,30,3,0,2025-05-12,,No,No,No,Yes,None
ACC-0093,Metro HVAC Professionals,HVAC,WA,Pro,44,1897.28,22767.36,12,2021-10-08,2022-10-03,Jordan Blake,57.6,Yellow,39,16,24,0,6,2025-04-24,2025-04-25,No,No,Yes,No,High
ACC-0094,Pinnacle Other Systems,Other,WI,Starter,5,345.66,4147.92,12,2020-07-05,2021-06-30,Lena Fischer,80.2,Green,28,43,46,3,1,2025-05-20,,Yes,No,Yes,No,None
ACC-0095,OneCall Facilities Management Technologies,Facilities Management,PA,Starter,1,313.28,3759.36,24,2021-09-13,2023-09-03,Emma Solis,80.2,Green,21,11,97,10,4,2025-04-26,,No,No,No,No,Medium
ACC-0096,RapidFix Electrical Partners,Electrical,NY,Growth,9,902.32,10827.84,24,2021-11-15,2023-11-05,Omar Castillo,46.0,Yellow,4,36,20,2,6,2025-05-25,,No,Yes,Yes,No,Medium
ACC-0097,SwiftLine Facilities Management Associates,Facilities Management,GA,Starter,3,405.82,4869.84,24,2020-10-27,2022-10-17,Sadia Islam,60.0,Yellow,4,55,30,4,0,2025-04-29,,No,No,Yes,No,None
ACC-0098,BlueStar Landscaping Experts,Landscaping,CO,Growth,13,845.29,10143.48,12,2019-08-06,2020-07-31,Omar Castillo,63.0,Yellow,16,12,52,0,1,2025-04-20,,Yes,Yes,No,No,None
ACC-0099,Metro Electrical Experts,Electrical,IN,Pro,59,1853.81,22245.72,12,2023-09-15,2024-09-09,Sadia Islam,61.6,Yellow,4,60,63,9,5,2025-05-24,2025-02-22,Yes,Yes,Yes,No,High
ACC-0100,Heritage Electrical Services,Electrical,MO,Growth,18,777.76,9333.12,12,2023-10-18,2024-10-12,Jordan Blake,36.5,Red,3,1,35,8,4,2025-05-02,,Yes,No,No,Yes,Low
ACC-0101,ProServ Plumbing Technologies,Plumbing,FL,Growth,9,638.59,7663.08,24,2020-01-28,2022-01-17,Sadia Islam,76.2,Green,22,12,53,6,0,2025-04-25,,Yes,Yes,No,No,None
ACC-0102,Regional HVAC Associates,HVAC,GA,Enterprise,123,5447.16,65365.92,12,2019-11-04,2020-10-29,Ravi Mehta,64.0,Yellow,28,11,46,0,2,2025-05-14,2025-03-30,No,No,Yes,No,None
ACC-0103,SwiftLine Landscaping Partners,Landscaping,GA,Starter,2,335.54,4026.48,12,2023-07-15,2024-07-09,Tanya Oluoch,74.6,Green,28,45,48,5,6,2025-04-29,,No,No,Yes,No,None
ACC-0104,Summit Plumbing Works,Plumbing,OH,Starter,5,334.11,4009.32,12,2019-11-08,2020-11-02,Ravi Mehta,77.0,Green,33,14,49,8,1,2025-05-30,,No,No,No,No,High
ACC-0105,OneCall HVAC Services,HVAC,TN,Enterprise,68,4194.39,50332.68,24,2022-09-17,2024-09-06,Felix Brennan,45.6,Yellow,5,3,45,9,3,2025-05-08,2025-01-09,Yes,Yes,No,No,High
ACC-0106,Reliable Plumbing Associates,Plumbing,PA,Starter,1,362.75,4353.0,24,2019-08-04,2021-07-24,Sadia Islam,58.6,Yellow,1,58,87,5,6,2025-05-31,,No,No,No,No,High
ACC-0107,RapidFix Landscaping Partners,Landscaping,IL,Pro,23,1939.81,23277.72,24,2022-07-08,2024-06-27,Felix Brennan,81.8,Green,34,29,64,9,5,2025-05-08,2025-01-03,No,Yes,Yes,No,Medium
ACC-0108,Reliable Landscaping Works,Landscaping,NC,Pro,25,2097.62,25171.44,24,2023-09-27,2025-09-16,Felix Brennan,74.0,Green,21,36,60,0,4,2025-04-20,2025-02-27,Yes,Yes,No,No,Medium
ACC-0109,SwiftLine Facilities Management Technologies,Facilities Management,VA,Pro,48,1655.64,19867.68,12,2021-11-17,2022-11-12,Lena Fischer,59.3,Yellow,2,22,71,10,6,2025-05-29,2024-12-05,Yes,No,No,No,None
ACC-0110,Premier HVAC Technologies,HVAC,NY,Growth,13,693.93,8327.16,12,2022-03-10,2023-03-05,Tanya Oluoch,63.4,Yellow,40,11,28,9,5,2025-04-21,,Yes,Yes,No,No,Medium
ACC-0111,Regional Pest Control Group,Pest Control,FL,Starter,1,410.66,4927.92,12,2020-11-12,2021-11-07,Jordan Blake,80.0,Green,22,34,15,9,1,2025-04-30,,No,Yes,Yes,No,Low
ACC-0112,Dynamic Electrical Works,Electrical,IN,Starter,4,265.89,3190.68,12,2021-10-21,2022-10-16,Ravi Mehta,60.6,Yellow,1,20,87,5,2,2025-05-14,,Yes,Yes,No,No,None
ACC-0113,Regional HVAC Technologies,HVAC,TN,Starter,5,258.35,3100.2,12,2022-10-30,2023-10-25,Sadia Islam,84.0,Green,32,45,75,9,5,2025-04-25,,Yes,No,No,No,High
ACC-0114,Premier Electrical Associates,Electrical,IN,Pro,24,2064.49,24773.88,24,2020-09-02,2022-08-23,Omar Castillo,73.0,Green,34,46,25,8,6,2025-04-20,2024-12-19,No,No,No,No,Low
ACC-0115,Dynamic HVAC Works,HVAC,FL,Pro,35,1545.13,18541.56,12,2023-11-23,2024-11-17,Tanya Oluoch,67.8,Yellow,29,20,24,3,3,2025-05-10,2024-12-10,Yes,No,No,No,Low
ACC-0116,Summit Plumbing Group,Plumbing,VA,Growth,9,950.04,11400.48,24,2020-10-14,2022-10-04,Ravi Mehta,73.0,Green,38,16,46,5,2,2025-05-06,,No,No,No,No,Low
ACC-0117,Pinnacle Facilities Management Group,Facilities Management,OH,Pro,20,1411.64,16939.68,12,2021-10-05,2022-09-30,Lena Fischer,47.7,Yellow,6,8,14,6,0,2025-04-30,2024-12-18,No,No,No,No,Low
ACC-0118,TrustWorks Electrical Systems,Electrical,AZ,Starter,3,273.72,3284.64,12,2024-06-11,2025-06-06,Emma Solis,42.7,Yellow,2,4,55,7,3,2025-05-02,,No,No,No,No,None
ACC-0119,Reliable HVAC Group,HVAC,GA,Starter,5,314.98,3779.76,24,2023-01-20,2025-01-09,Omar Castillo,74.4,Green,20,28,32,8,5,2025-05-13,,No,No,Yes,No,High
ACC-0120,National Plumbing Group,Plumbing,WA,Starter,2,410.96,4931.52,36,2019-08-25,2022-08-09,Tanya Oluoch,80.0,Green,27,33,45,9,4,2025-05-14,,No,Yes,No,No,Medium
ACC-0121,BlueStar HVAC Experts,HVAC,WI,Growth,10,705.06,8460.72,12,2024-07-23,2025-07-18,Emma Solis,73.5,Green,14,42,45,2,0,2025-05-22,,Yes,No,Yes,No,Low
ACC-0122,Summit Facilities Management Group,Facilities Management,MN,Starter,1,314.92,3779.04,24,2020-12-29,2022-12-19,Omar Castillo,78.2,Green,28,33,26,7,2,2025-05-05,,No,No,Yes,No,Low
ACC-0123,Reliable Pest Control Professionals,Pest Control,WI,Enterprise,89,5807.1,69685.2,12,2023-12-02,2024-11-26,Tanya Oluoch,56.0,Yellow,4,20,30,8,2,2025-04-19,2025-04-14,No,Yes,No,No,None
ACC-0124,Heritage Facilities Management Technologies,Facilities Management,PA,Enterprise,141,4009.82,48117.84,36,2022-07-18,2025-07-02,Jordan Blake,73.2,Green,40,40,11,3,1,2025-05-16,2025-01-02,No,No,No,No,High
ACC-0125,BlueStar HVAC Solutions,HVAC,CA,Starter,1,410.51,4926.12,36,2024-03-21,2027-03-06,Tanya Oluoch,47.6,Yellow,0,27,18,7,4,2025-05-06,,No,No,No,No,Low
ACC-0126,Regional Plumbing Experts,Plumbing,IN,Growth,10,931.65,11179.8,12,2024-02-16,2025-02-10,Felix Brennan,86.0,Green,31,31,90,6,4,2025-05-14,,Yes,Yes,Yes,No,Medium
